start_date,end_date,production_type,value_start_date,value_end_date,value_value,Hour
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,346,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,346,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,347,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,346,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,336,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,326,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,319,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,BIOMASS,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,324,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,2923,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,3018,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,2988,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,2961,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,2939,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,3073,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,3020,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_GAS,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,3106,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,17,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,18,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,19,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,19,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,19,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,19,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,19,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_HARD_COAL,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,18,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,134,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,134,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,134,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,134,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,134,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,134,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,134,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,FOSSIL_OIL,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,134,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,482,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,411,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,-155,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,-372,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,-510,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,67,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,613,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_PUMPED_STORAGE,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,1094,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,5256,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,5095,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,5046,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,5021,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,5068,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,5430,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,5817,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,6322,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,2272,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,2488,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,2023,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,2068,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,2097,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,2584,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,2756,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,HYDRO_WATER_RESERVOIR,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,3543,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,30558,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,30399,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,30285,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,30291,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,30379,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,30293,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,30304,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,NUCLEAR,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,30245,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,9494,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,10985,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,11135,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,10858,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,10158,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,7899,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,6014,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,SOLAR,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,3361,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,106,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,85,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,88,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,95,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,92,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,92,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,93,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WASTE,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,91,19
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 11:00:00+02:00,2023-06-15 12:00:00+02:00,1523,11
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 13:00:00+02:00,2023-06-15 14:00:00+02:00,1622,13
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 14:00:00+02:00,2023-06-15 15:00:00+02:00,1674,14
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 15:00:00+02:00,2023-06-15 16:00:00+02:00,1723,15
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 16:00:00+02:00,2023-06-15 17:00:00+02:00,1885,16
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 17:00:00+02:00,2023-06-15 18:00:00+02:00,2075,17
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 18:00:00+02:00,2023-06-15 19:00:00+02:00,2179,18
2023-06-15 00:00:00+02:00,2023-06-16 00:00:00+02:00,WIND_ONSHORE,2023-06-15 19:00:00+02:00,2023-06-15 20:00:00+02:00,2207,19
